answer,correct_answer,score,length
Tobet Maguire,Tobey Maguire,0.92,13
Tobey Maguire,Tobey Maguire,1.0,13
Tom Arnold,Tom Arnold,1.0,10
Tom Arnold,Tom Arnold,1.0,10
Tom Cruise,Tom Cruise,1.0,10
Tom Crise,Tom Cruise,0.95,9
Tom Hanks,Tom Hanks,1.0,9
Tom Hanks,Tom Hanks,1.0,9
Tom Hardy,Tom Hardy,1.0,9
Tom Hard,Tom Hardy,0.94,8
Tom Wilkinson,Tom Wilkinson,1.0,13
Tom Wilkinson,Tom Wilkinson,1.0,13
Tommy Lee Jones,Tommy Lee Jones,1.0,15
Tommy Lee Jones,Tommy Lee Jones,1.0,15
Toni Collettse,Toni Collette,0.96,14
Toni Collette,Toni Collette,1.0,13
Tracey Ullman,Tracey Ullman,1.0,13
Tracey Ullman,Tracey Ullman,1.0,13
Uma Thurman,Uma Thurman,1.0,11
Um aThurman,Uma Thurman,0.91,11
Val iKlmer,Val Kilmer,0.9,10
Val Kilmer,Val Kilmer,1.0,10
Varessa edgrave,Vanessa Redgrave,0.9,15
Vanessa Redgrave,Vanessa Redgrave,1.0,16
Viggo Mortensen,Viggo Mortensen,1.0,15
Viggo Mortensen,Viggo Mortensen,1.0,15
Vince Vaughn,Vince Vaughn,1.0,12
Vince Vaughn,Vince Vaughn,1.0,12
Will Ferrell,Will Ferrell,1.0,12
Will Ferrell,Will Ferrell,1.0,12
Will Smith,Will Smith,1.0,10
Will Smith,Will Smith,1.0,10
Willem Dafe,Willem Dafoe,0.96,11
Willem Dafoe,Willem Dafoe,1.0,12
William Hurt,William Hurt,1.0,12
William Hurt,William Hurt,1.0,12
Wiona Ryder,Winona Ryder,0.96,11
Winona Ryder,Winona Ryder,1.0,12
Woody Allen,Woody Allen,1.0,11
Woody Alen,Woody Allen,0.95,10
Zach Galifianakis,Zach Galifianakis,1.0,17
Zach Galifianakis,Zach Galifianakis,1.0,17
