answer,correct_answer,score
Kelly MacDonald,Kelly MacDonald,1
Blythe Danner,Blythe Danner,1
David Hasselhoff,David Hasselhoff,1
Liv Tyler,Liv Tyler,1
Roger Moore,Roger Moore,1
Cathy Bates,Kathy Bates,0.939
Andie MacDowell,Andie MacDowell,1
Kevin Spacey,Kevin Spacey,1
Antonio Banderas,Antonio Banderas,1
Francis Mcdormand,Frances McDormand,0.898
Tim Robbins,Tim Robbins,1
Val Kilmer,Val Kilmer,1
Billy Crystal,Billy Crystal,1
Pierce Brosnan,Pierce Brosnan,1
Denzel Washington,Denzel Washington,1
Tim Blake Nelson,Tim Blake Nelson,1
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Ed Burns,Ed Burns,1
Michelle Phiffer,Michelle Pfeiffer,0.957
Don Cheatle,Don Cheadle,0.983
Scarlette Johanson,Scarlett Johansson,0.979
Richard Guerre,Richard Gere,0.983
Adrien Brody,Adrien Brody,1
Jeff Daniels,Jeff Daniels,1
Toby Mcguire,Tobey Maguire,0.939
Orlando Bloome,Orlando Bloom,0.998
Liv Schriber,Liev Schreiber,0.935
Mike Myers,Mike Myers,1
Jeff Bridges,Jeff Bridges,1
Viggo Mortenson,Viggo Mortensen,0.994
Tom Cruise,Tom Cruise,1
Emma Stone,Emma Stone,1
Ellen Degeneris,Ellen Degeneres,0.994
Chevy Chase,Chevy Chase,1
James Woods,James Woods,1
Gene Hackman,Gene Hackman,1
Anthony Hopkins,Anthony Hopkins,1
John Malcovich,John Malkovich,0.958
Colin Farrel,Colin Farrell,0.998
Arnold   Schwatzengger,Arnold Schwarzenegger,0.911
Natalie Portman,Natalie Portman,1
Emma Watson,Emma Watson,1
Minnie Driver,Minnie Driver,1
Sam Shepard,Sam Shepard,1
Jim Carrey,Jim Carrey,1
Ryan Gossling,Ryan Gosling,0.99
Glenn Close,Glenn Close,1
Al Pacino,Al Pacino,1
Alan Rickman,Alan Rickman,1
Meg Ryan,Meg Ryan,1
Michael Keaton,Michael Keaton,1
Laura Linney,Laura Linney,1
Chris Cooper,Chris Cooper,1
Jack Nicholas,Jack Nicholson,0.984
John Turtoro,John Turturro,0.966
Isabella Rossalini,Isabella Rossellini,0.983
Chris Rock,Chris Rock,1
Joaquim Phoenix,Joaquin Phoenix,0.93
Eddie Murphy,Eddie Murphy,1
Mark  Walberg,Mark Wahlberg,0.968
John Travlota,John Travolta,0.992
Sandra Bullock,Sandra Bullock,1
Kirsten Dunst,Kirsten Dunst,1
Ben Stiller,Ben Stiller,1
Nicholas Cage,Nicholas Cage,1
Adam Sandler,Adam Sandler,1
Bruce Willis,Bruce Willis,1
Jackie Chan,Jackie Chan,1
Elliott Gould,Elliott Gould,1
Orlando Bloom,Orlando Bloom,1
Hugh Grant,Hugh Grant,1
David Hasselhoff,David Hasselhoff,1
Sylvester Stalone,Sylvester Stallone,0.996
Jamie Bell,Jamie Bell,1
Christian Bale,Christian Bale,1
Mickey Rourke,Mickey Rourke,1
Elliott Gould,Elliott Gould,1
Emma Watson,Emma Watson,1
Daniel Radcliffe,Daniel Radcliffe,1
Beau Bridges,Beau Bridges,1
Kevin Bacon,Kevin Bacon,1
Jude Law,Jude Law,1
Mira Survino,Mira Sorvino,0.942
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Sean Penn,Sean Penn,1
Juliette Binouche,Juliette Binoche,0.995
David Ducovny,David Duchovny,0.991
Kim Bassinger,Kim Basinger,0.988
Samuel L. Jackson,Samuel L. Jackson,1
Edward Norton,Edward Norton,1
Holly Hunter,Holly Hunter,1
David Schwimmer,David Schwimmer,1
Daniel Day Lewis,Daniel Day-Lewis,0.984
David Spade,David Spade,1
Amy Adams,Amy Adams,1
Vigo Morgenstern,Viggo Mortensen,0.893
Martin Lawrence,Martin Lawrence,1
Paul Giancarlo,Paul Giamatti,0.905
Ann Hathaway,Anne Hathaway,0.98
Gary sinease,Gary Sinise,0.894
Joan cusack,Joan Cusack,1
Rob Schneider,Rob Schneider,1
James woods,James Woods,1
Zack galifinakis,Zach Galifianakis,0.898
Ben kingsley,Ben Kingsley,1
Mark wahlberg,Mark Wahlberg,1
Liam neeson,Liam Neeson,1
Kurt Russell,Kurt Russell,1
Joe pesce,Joe Pesci,0.911
Greg kinear,Greg Kinnear,0.95
Robert de niro,Robert De Niro,1
Goldie Hawn,Goldie Hawn,1
Mike Myers,Mike Myers,1
Tea leoni,Tea Leoni,1
Ewan McGregor,Ewan McGregor,1
Andy Gracia,Andy Garcia,0.986
Eddie Murphy,Eddie Murphy,1
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Josh brolin,Josh Brolin,1
Tracy ullman,Tracey Ullman,0.945
Anthony Quinn,Anthony Quinn,1
Michael J. Fox,Michael J. Fox,1
Richard Guere,Richard Gere,0.992
Morgan Freeman,Morgan Freeman,1
Amanda Peet,Amanda Peet,1
Hugh Jackman,Hugh Jackman,1
Jennifer Jason-Lee,Jennifer Jason Leigh,0.969
Blythe Danner,Blythe Danner,1
Elijah Wood,Elijah Wood,1
Nicole Kiddman,Nicole Kidman,0.993
Anna Paquin,Anna Paquin,1
Peirce Brosnan,Pierce Brosnan,0.978
Ralph Finnes,Ralph Fiennes,0.979
Jake Jyllenhaal,Jake Gyllenhaal,0.97
Steven Segal,Steven Seagal,0.984
Mark Ruffalo,Mark Ruffalo,1
Ellen Degeneris,Ellen Degeneres,0.994
Marisa Tomei,Marisa Tomei,1
Kirstin Dunst,Kirsten Dunst,0.968
Dennis Hopper,Dennis Hopper,1
Jon Ham,Jon Hamm,0.988
Jesica Chastain,Jessica Chastain,0.911
Joaquim Pheonix,Joaquin Phoenix,0.945
Sissy Spacek,Sissy Spacek,1
Vanessa Redgrave,Vanessa Redgrave,1
John Travolta,John Travolta,1
All pacino,Al Pacino,0.917
Will Smith,Will Smith,1
Malcolm McDowell,Malcolm McDowell,1
James macevoy,James McAvoy,0.929
Hugh Grant,Hugh Grant,1
Greg kaneer,Greg Kinnear,0.894
Alfred Molina,Alfred Molina,1
Winona Ryder,Winona Ryder,1
Mel Gibson,Mel Gibson,1
Woody Allen,Woody Allen,1
Julianne Moore,Julianne Moore,1
Liev Schreiber,Liev Schreiber,1
Bruce Willis,Bruce Willis,1
Dustin Hoffman,Dustin Hoffman,1
John malcovich,John Malkovich,0.903
Michael Douglas,Michael Douglas,1
Geoffrey rush,Geoffrey Rush,1
Reese Witherspoon,Reese Witherspoon,1
Keifer Sutherland,Kiefer Sutherland,0.982
Jack Nicholson,Jack Nicholson,1
Barbara Hershey,Barbara Hershey,1
Jennifer Aniston,Jennifer Aniston,1
Mary Louise-Parker,Mary-Louise Parker,0.986
Penolope Cruise,Penelope Cruz,0.864
James Gandolfini,James Gandolfini,1
Bill Pullman,Bill Pullman,1
Hope Davis,Hope Davis,1
Jeremy Renner,Jeremy Renner,1
Meryl Streep,Meryl Streep,1
Blair Underwood,Blair Underwood,1
Peter O'toole,Peter O'toole,1
Kyle Mcglachlan,Kyle MacLachlan,0.931
Brian  Cox,Brian Cox,1
Chris rock,Chris Rock,1
Lucy Liu,Lucy Liu,1
Chris Cooper,Chris Cooper,1
Elijah wood,Elijah Wood,1
Guy pierce,Guy Pearce,0.92
Juliette binoche,Juliette Binoche,1
John Turtoro,John Turturro,0.966
Don Cheadle,Don Cheadle,1
Mark Ruffolo,Mark Ruffalo,0.979
Tom Arnold,Tom Arnold,1
Alec Baldwin,Alec Baldwin,1
Orlando Bloom,Orlando Bloom,1
Ed Harris,Ed Harris,1
Denzel   Washington,Denzel Washington,1
Brendan Frasier,Brendan Fraser,0.996
Patricia Arquette,Patricia Arquette,1
Steve Buscemi,Steve Buscemi,1
Kurt Russel,Kurt Russell,0.998
Steve Correl,Steve Carell,0.954
Benicio Del Torro,Benicio Del Toro,0.998
Jennifer Aniston,Jennifer Aniston,1
Tom Hanks,Tom Hanks,1
Rob Schnider,Rob Schneider,0.979
Vince Vaugn,Vince Vaughn,0.995
Kevin Bacon,Kevin Bacon,1
Helen Hunt,Helen Hunt,1
Naomi Watts,Naomi Watts,1
Tracy Ullman,Tracey Ullman,0.982
Jack Black,Jack Black,1
John Hawkes,John Hawkes,1
Liam Neeson,Liam Neeson,1
Helena Bonham Carter,Helena Bonham Carter,1
John Goodman,John Goodman,1
Dan Ackaroid,Dan Aykroyd,0.916
Tim Robbins,Tim Robbins,1
Amy Adams,Amy Adams,1
Reese Witherspoon,Reese Witherspoon,1
John C. Rielly,John C. Reilly,0.991
Seth Rogan,Seth Rogen,0.987
David Spade,David Spade,1
Blythe Danner,Blythe Danner,1
Chevy Chase,Chevy Chase,1
Kate Hudson,Kate Hudson,1
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Peter O'toole,Peter O'toole,1
Jamie FOxx,Jamie Foxx,1
Emma Thompson,Emma Thompson,1
Rosanna Arquette,Rosanna Arquette,1
Catherine  Zeta-Jones,Catherine Zeta-Jones,1
Ryan Gosling,Ryan Gosling,1
Rosie Perez,Rosie Perez,1
Charlie Sheen,Charlie Sheen,1
Marion Cotilard,Marion Cotillard,0.995
Dennis Leary,Denis Leary,0.979
Colin Farrel,Colin Farrell,0.998
Renee Russo,Rene Russo,0.981
Morgan Freeman,Morgan Freeman,1
Sigourney Weaver,Sigourney Weaver,1
Kathleen Turner,Kathleen Turner,1
Philip seymour hoffman,Philip Seymour Hoffman,1
Bradley Cooper ,Bradley Cooper,1
Winona ryder,Winona Ryder,1
Michele pfiffer,Michelle Pfeiffer,0.932
Emma Stone,Emma Stone,1
George Clooney,George Clooney,1
Kevin Spacey,Kevin Spacey,1
Kristen  Scott-Thomas,Kristin Scott Thomas,0.936
Goldie Hawn,Goldie Hawn,1
Winona Ryder,Winona Ryder,1
Meg Ryan,Meg Ryan,1
Roger Moore,Roger Moore,1
Will Farrell,Will Ferrell,0.957
Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988
Cate Blanchet,Cate Blanchett,0.998
Sally Fields,Sally Fields,1
Josh Brolin,Josh Brolin,1
Sylvester Stallone,Sylvester Stallone,1
Demi moore,Demi Moore,1
Kevin spacey,Kevin Spacey,1
Pierce brosnan ,Pierce Brosnan,1
Candice Bergen,Candice Bergen,1
Glen Close,Glenn Close,0.981
Gabriel Byrne,Gabriel Byrne,1
Geoffrey Rush,Geoffrey Rush,1
Jeff Bridges,Jeff Bridges,1
Laura Dern,Laura Dern,1
Samuel L. Jackson,Samuel L. Jackson,1
Tommy Lee Jones,Tommy Lee Jones,1
Beau Bridges,Beau Bridges,1
Clive Owen,Clive Owen,1
Bradley Cooper,Bradley Cooper,1
Paul Newman,Paul Newman,1
Michael J. Fox,Michael J. Fox,1
Tilda Swinton,Tilda Swinton,1
Christian slater,Christian Slater,1
Adrien brody,Adrien Brody,1
Lucy liu,Lucy Liu,1
Woody allen ,Woody Allen,1
Paul Dano,Paul Dano,1
Martin Lawrence ,Martin Lawrence,1
Martin Sheen,Martin Sheen,1
Elizabeth shue,Elizabeth Perkins,0.929
Jeff goldblum ,Jeff Goldblum,1
John Goodman ,John Goodman,1
Cameron diaz,Cameron Diaz,1
Billy crystal ,Billy Crystal,1
Rickey Gervais,Ricky Gervais,0.946
Francis mcdormand,Frances McDormand,0.867
Robert redford,Robert Redford,1
Anette Benning,Annette Bening,0.937
Kelly Macadams,Kelly MacDonald,0.936
Meryl streep,Meryl Streep,1
Jet bridges,Jeff Bridges,0.88
Will smith,Will Smith,1
Angelina jolie,Angelina Jolie,1
Tim robbins,Tim Robbins,1
Nicholas cage,Nicholas Cage,1
Frank Langella,Frank Langella,1
Kristen Scott thomas,Kristin Scott Thomas,0.95
John hawkes,John Hawkes,1
Joaquin Pheonix ,Joaquin Phoenix,0.984
Chris rock,Chris Rock,1
Colin firth,Colin Firth,1
Jim carrey,Jim Carrey,1
Drew barrymore,Drew Barrymore,1
Eddie murphy,Eddie Murphy,1
Albert brooks,Albert Brooks,1
Glenn close,Glenn Close,1
Tom wilksnson,Tom Wilkinson,0.908
Laura linney,Laura Linney,1
Ian holm,Ian Holm,1
Laura dern,Laura Dern,1
Emma watson,Emma Watson,1
Bill murry,Bill Murray,0.949
Javier Bardem,Javier Bardem,1
Jon Hamm,Jon Hamm,1
Michael Douglas,Michael Douglas,1
Ed Burns,Ed Burns,1
Oliver Platt,Oliver Platt,1
Morgan Freeman,Morgan Freeman,1
Seth Rogan,Seth Rogen,0.987
Ellen Degeneres,Ellen Degeneres,1
Elijah Wood,Elijah Wood,1
Jane Fonda,Jane Fonda,1
Greg Kineer,Greg Kinnear,0.971
Tom Cruise,Tom Cruise,1
Reese Witherspoon,Reese Witherspoon,1
Ellen Barkin,Ellen Barkin,1
Rene Zelwegger,Renee Zellweger,0.875
David Hasselhoff,David Hasselhoff,1
Ralph Finnes,Ralph Fiennes,0.979
Albert Finley,Albert Finney,0.988
Sean Penn,Sean Penn,1
Uma Thurmon,Uma Thurman,0.989
Isabella Rossellini,Isabella Rossellini,1
Robert De Niro,Robert De Niro,1
Sally Fields,Sally Fields,1
Nicole Kidman,Nicole Kidman,1
Debora Winger,Debra Winger,0.98
Rosie Perez,Rosie Perez,1
Ethan Hawks,Ethan Hawke,0.994
Marion Cotilard ,Marion Cotillard,0.99
Burt Reynolds,Burt Reynolds,1
Colin Farrell ,Colin Farrell,1
Dennis leary,Denis Leary,0.936
Hugh grant,Hugh Grant,1
Goldie hawn,Goldie Hawn,1
Nicole kidman,Nicole Kidman,1
Robert duval,Robert Duvall,0.964
Jennifer Connely,Jennifer Connelly,0.998
Dan Akyroid,Dan Aykroyd,0.949
Joney Depp,Johnny Depp,0.923
Benecio Del Torro,Benicio Del Toro,0.914
David Schwimmer,David Schwimmer,1
Paul Rudd,Paul Rudd,1
Ryan Reynolds,Ryan Reynolds,1
Dennis Miller,Dennis Miller,1
Jack Black,Jack Black,1
Willem Defoe,Willem Dafoe,0.971
Miranda Richardson,Miranda Richardson,1
Alan alda,Alan Alda,1
Sissy spacek,Sissy Spacek,1
Scarletth,Scarlett Johansson,0.907
Joe pesce,Joe Pesci,0.911
Francis mcformand ,Frances McDormand,0.87
Hugh Grant,Hugh Grant,1
Christopher Waltz,Christoph Waltz,0.982
Mary Steinbrugen,Mary Steenburgen,0.957
Tracy Ullman,Tracey Ullman,0.982
Cathy Bates,Kathy Bates,0.939
Jennifer Lawrence,Jennifer Lawrence,1
Nick Norte,Nick Nolte,0.98
Steve Buscemi,Steve Buscemi,1
Ben Afleck,Ben Affleck,0.986
Emma stone,Emma Stone,1
Dennis miller,Dennis Miller,1
Ellen Barkin ,Ellen Barkin,1
Keanu reeves ,Keanu Reeves,1
Chevy chase,Chevy Chase,1
Andie McDowell ,Andie MacDowell,0.976
Kathlene Turner,Kathleen Turner,0.987
Anna Pacquin,Anna Paquin,0.988
Brooke Shields,Brooke Shields,1
Amanda Peete,Amanda Peet,0.998
Eva Mendez,Eva Mendes,0.993
Sandra Bulock,Sandra Bullock,0.993
Leonardo Di Caprio,Leonardo DiCaprio,1
Candice Burgen,Candice Bergen,0.974
Emma Watson,Emma Watson,1
Jeff Goldblum,Jeff Goldblum,1
Val Kilmer,Val Kilmer,1
Elijah Wood,Elijah Wood,1
Chris Rock,Chris Rock,1
Tea Leoni,Tea Leoni,1
Kate Hudson,Kate Hudson,1
Philip Semore Hoffman,Philip Seymour Hoffman,0.973
Orlando Bloome,Orlando Bloom,0.998
Ben Affleck,Ben Affleck,1
Zack Galifanakis,Zach Galifianakis,0.914
David Spade,David Spade,1
Stanley Tucci,Stanley Tucci,1
John Malcovitch,John Malkovich,0.944
Christoph Waltz,Christoph Waltz,1
Rickey Gervais,Ricky Gervais,0.946
Mary Louise Parker,Mary-Louise Parker,0.925
Marion Cotilard,Marion Cotillard,0.995
Adam Sandler,Adam Sandler,1
Jim Beluchi,Jim Belushi,0.983
John Turturo,John Turturro,0.996
Sally Fields,Sally Fields,1
Alec Baldwin,Alec Baldwin,1
Martin Sheen,Martin Sheen,1
Jeffrey Wright,Jeffrey Wright,1
Clive Owen,Clive Owen,1
John Leguzamo,John Leguizamo,0.991
John Cusack,John Cusack,1
Marisa Tomei,Marisa Tomei,1
Sidney Poitier,Sidney Poitier,1
Tom Wilkenson,Tom Wilkinson,0.98
Albert Brooks,Albert Brooks,1
Emma Thompson,Emma Thompson,1
Beau Bridges,Beau Bridges,1
Ben Kingsley,Ben Kingsley,1
Bill Pullman,Bill Pullman,1
Katherine Keener,Catherine Keener,0.958
Elliot Gould,Elliott Gould,0.986
Patricia Arquette,Patricia Arquette,1
George Lopez,George Lopez,1
Judi Dench,Judi Dench,1
Mark Walburg,Mark Wahlberg,0.964
Christopher Walkin,Christopher Walken,0.996
James Galdolphini,James Gandolfini,0.934
Ann Hathaway,Anne Hathaway,0.98
Jeremy Irons,Jeremy Irons,1
Alan Arkin,Alan Arkin,1
Charlie Sheen,Charlie Sheen,1
Michael Fasbender,Michael Fassbender,0.993
Kevin James,Kevin James,1
Forest Witaker,Forest Whitaker,0.99
Steve Martin,Steve Martin,1
Tilda Swinton,Tilda Swinton,1
Blithe Danner,Blythe Danner,0.957
Sam Worthington,Sam Worthington,1
Jude Law,Jude Law,1
Jennifer Jason Leigh,Jennifer Jason Leigh,1
Viggo Mortenson,Viggo Mortensen,0.994
Tim Blake nelson,Tim Blake Nelson,1
Sean Penn,Sean Penn,1
Morgan  freeman ,Morgan Freeman,1
Ryan Gosling,Ryan Gosling,1
Daniel Craig ,Daniel Craig,1
Nick Nolte,Nick Nolte,1
Laura Dern,Laura Dern,1
Roger Moore,Roger Moore,1
Javier Bardem,Javier Bardem,1
Kelly MacDonnald,Kelly MacDonald,0.995
Viggo mortenson,Viggo Mortensen,0.947
Emma stone,Emma Stone,1
Bill Cosby,Bill Cosby,1
Jane Fonda ,Jane Fonda,1
Sigourney weaver ,Sigourney Weaver,1
David Schwimmer ,David Schwimmer,1
Owen Wilson,Owen Wilson,1
Ryan Reynolds,Ryan Gosling,0.863
Chris Cooper,Chris Cooper,1
Tim Blake Nelson,Tim Blake Nelson,1
Michael Shannon,Michael Shannon,1
William Hurt,William Hurt,1
Bridget Fonda,Bridget Fonda,1
Sam Worthington,Sam Worthington,1
Rosie perez ,Rosie Perez,1
Viggo Mortensen ,Viggo Mortensen,1
Meg ryan,Meg Ryan,1
Anthony Hopkins ,Anthony Hopkins,1
Nicole kiddman,Nicole Kidman,0.963
Will Farrell ,Will Ferrell,0.941
Natalie Portman ,Natalie Portman,1
Jeremy irons,Jeremy Irons,1
Mark wahlberg,Mark Wahlberg,1
Elizabeth Shue ,Elisabeth Shue,0.945
Emma Thompson ,Emma Thompson,1
Renee Russo ,Rene Russo,0.963
Ian Holm ,Ian Holm,1
Steve Martin ,Steve Martin,1
Steve correl,Steve Carell,0.917
Daniel Radcliffe ,Daniel Radcliffe,1
William Hurt,William Hurt,1
Chris Cooper,Chris Cooper,1
John Hawks,John Hawkes,0.994
Vince Vaughn,Vince Vaughn,1
Jamie Bell,Jamie Bell,1
Jack Black,Jack Black,1
Selma Hyaek,Salma Hayek,0.854
Eddie Murphy,Eddie Murphy,1
Juilette Binoche,Juliette Binoche,0.982
Pierce Brosnan,Pierce Brosnan,1
Charlie Sheen,Charlie Sheen,1
Roger MOore,Roger Moore,1
Owen Wilson,Owen Wilson,1
Andy Garcia,Andy Garcia,1
Catherine Keener,Catherine Keener,1
Cathy Bates,Kathy Bates,0.939
Lindsey lohan,Lindsay Lohan,0.937
Kiera Knigtly,Keira Knightley,0.935
Alfred Molina,Alfred Molina,1
Elizabeth Perkins,Elizabeth Perkins,1
Tom Arnold,Tom Arnold,1
Kevin James,Kevin James,1
Miney Driver,Minnie Driver,0.893
Jill Clayburg,Jill Clayburgh,0.998
Michael Keeton,Michael Keaton,0.986
Dan  Aykroid,Dan Aykroyd,0.943
Steven Segal,Steven Seagal,0.984
Jeff Bridges,Jeff Bridges,1
Alan Rickman,Alan Rickman,1
Viggo Mortenson,Viggo Mortensen,0.994
Forest Wittaker,Forest Whitaker,0.979
Robert De Niro,Robert De Niro,1
Andie MacDowel,Andie MacDowell,0.999
Paul Giamatti,Paul Giamatti,1
Bill Murray,Bill Murray,1
Josh Brolin,Josh Brolin,1
Jeff Daniels,Jeff Daniels,1
Billy Crystal,Billy Crystal,1
Martin Lawrence,Martin Lawrence,1
Timothy Dalton,Timothy Dalton,1
Edward  Norten,Edward Norton,0.963
Hugh Jackman,Hugh Jackman,1
Dustin Hoffman,Dustin Hoffman,1
Antonia Banderas,Antonio Banderas,0.918
Penelopi Cruise,Penelope Cruz,0.925
David Spade,David Spade,1
John Goodman,John Goodman,1
Paul Rudd,Paul Rudd,1
Woody Allen,Woody Allen,1
Tilda Swinton,Tilda Swinton,1
Jude Law,Jude Law,1
Marion Cotillard,Marion Cotillard,1
Gweneth Paltrow,Gwyneth Paltrow,0.941
Kenneth Branaugh,Kenneth Branagh,0.996
Richard Gere,Richard Gere,1
Jamie Lee Curtis,Jamie Lee Curtis,1
Reese WItherspoone,Reese Witherspoon,0.965
Val Kilmer,Val Kilmer,1
Rosie Perez,Rosie Perez,1
Joe Pesce,Joe Pesci,0.985
Jeff Goldblum,Jeff Goldblum,1
Joaquim Phoenix,Joaquin Phoenix,0.93
Alec Baldwin,Alec Baldwin,1
Meg Ryan,Meg Ryan,1
Naomi Watts,Naomi Watts,1
Elliott Guild,Elliott Gould,0.984
Rickey Gervais,Ricky Gervais,0.946
Jamie Lee Curtis,Jamie Lee Curtis,1
Kate Hudson,Kate Hudson,1
Ellen Degeneris,Ellen Degeneres,0.994
Barbara Hershey,Barbara Hershey,1
Jimmy Smits,Jimmy Smits,1
Sandra Bullock,Sandra Bullock,1
Cate Blanchett,Cate Blanchett,1
Robin Williams,Robin Williams,1
Tom Wilkenson,Tom Wilkinson,0.98
Laura Linney,Laura Linney,1
Patricia Arkette,Patricia Arquette,0.979
Adam Sandler,Adam Sandler,1
Blair Underwood,Blair Underwood,1
Owen Wilson,Owen Wilson,1
Julianne Moore,Julianne Moore,1
James Gandolfini,James Gandolfini,1
Elijah Wood,Elijah Wood,1
Gary Oldman,Gary Oldman,1
Kevin Costner,Kevin Costner,1
Francis McDormand,Frances McDormand,0.972
Jackie Chan,Jackie Chan,1
Leiv Schriber,Liev Schreiber,0.93
Woody Allen,Woody Allen,1
Rickey Jervais,Ricky Gervais,0.928
Emma Stone,Emma Stone,1
Kristin Scott Thomas,Kristin Scott Thomas,1
Kenneth Branaugh,Kenneth Branagh,0.996
Clint Eastwood,Clint Eastwood,1
Dennis Hopper,Dennis Hopper,1
Jeff Daniles,Jeff Daniels,0.993
Don Cheetle,Don Cheadle,0.942
Naomi Watts,Naomi Watts,1
Keano Reeves,Keanu Reeves,0.963
Steve Martin,Steve Martin,1
Kate Wislett,Kate Winslet,0.977
David Hasselhoff,David Hasselhoff,1
Arnold Schwartzeneger,Arnold Schwarzenegger,0.988
Candice Burgen,Candice Bergen,0.974
Jonny Depp,Johnny Depp,0.975
Josh Brolin,Josh Brolin,1
David Schwimmer,David Schwimmer,1
Dennis Leary,Denis Leary,0.979
Billy Crystal,Billy Crystal,1
Jennifer Lawrence,Jennifer Lawrence,1
John Travolta,John Travolta,1
Tom Hanks,Tom Hanks,1
Ben Kingsley,Ben Kingsley,1
John Malcovitch,John Malkovich,0.944
Sylvester Stalone,Sylvester Stallone,0.996
Elizabeth Shue,Elisabeth Shue,0.963
Helena Bonham Carter,Helena Bonham Carter,1
John Leguzamo,John Leguizamo,0.991
Mike Myers,Mike Myers,1
Dustin Hoffman,Dustin Hoffman,1
Christopher Plummer,Christopher Plummer,1
Andie Mcdowell,Andie MacDowell,0.964
Macauly Caulkin,Macaulay Culkin,0.973
James Gandolfini,James Gandolfini,1
Jamie Bell,Jamie Bell,1
James Woods,James Woods,1
Benecio Del Toro,Benicio Del Toro,0.93
Steve Correll,Steve Carell,0.964
Daryl Hannah,Daryl Hannah,1
Michael Douglas,Michael Douglas,1
George Lopez,George Lopez,1
Orlando  Bloom,Orlando Bloom,1
Alfred Molina,Alfred Molina,1
Geoffrey Rush,Geoffrey Rush,1
Jim Carrey,Jim Carrey,1
Tilda Swinton,Tilda Swinton,1
Jennifer Lopez,Jennifer Lopez,1
Elizabeth Shue,Elizabeth Perkins,0.922
Chris Rock,Chris Rock,1
Jim Balushi,Jim Belushi,0.967
Kim Bassenger,Kim Basinger,0.95
Francis Mcdormand,Frances McDormand,0.898
Gene Hackman,Gene Hackman,1
Laura Dern,Laura Dern,1
Jack Black,Jack Black,1
Nathan lane,Nathan Lane,1
Ian HOlm,Ian Holm,1
Angelina Joli,Angelina Jolie,0.998
Burt Reynolds,Burt Reynolds,1
Emily Blunt,Emily Blunt,1
Elijah Wood,Elijah Wood,1
Matt Damon,Matt Damon,1
Antonio Banderia,Antonio Banderas,0.995
Daniel Craig,Daniel Craig,1
Kurt Russel,Kurt Russell,0.998
Robert De Niro,Robert De Niro,1
Samuel L Jackson,Samuel L. Jackson,0.99
Dennis Miller,Dennis Miller,1
Natalie Portman,Natalie Portman,1
Anette Benning,Annette Bening,0.937
Angelina Jolie,Angelina Jolie,1
Christopher Walken,Christopher Walken,1
Charlise Theron,Charlize Theron,0.973
Ralph Finnes,Ralph Fiennes,0.979
Javier Bardem,Javier Bardem,1
Glenn Close,Glenn Close,1
Nicholas  Cage,Nicholas Cage,1
Kira Knightly,Keira Knightley,0.959
Holly Hunter,Holly Hunter,1
Daniel Day Lewis,Daniel Day-Lewis,0.984
Tom Hardy,Tom Hardy,1
Catherine Zeta Jones,Catherine Zeta-Jones,0.99
David Spade,David Spade,1
Maggie Jylenhall,Maggie Gyllenhaal,0.939
Kristen Scott Thomas,Kristin Scott Thomas,0.975
Jennifer Lawrence,Jennifer Lawrence,1
Martin Lawrence,Martin Lawrence,1
Anthony Hopkins,Anthony Hopkins,1
Ed Burns,Ed Burns,1
Bradley Cooper,Bradley Cooper,1
Winona Rider,Winona Ryder,0.981
Andie MacDowell,Andie MacDowell,1
Tim Robbins,Tim Robbins,1
Kurt Russel,Kurt Russell,0.998
Helen Hunt,Helen Hunt,1
Andy Garcia,Andy Garcia,1
Lucy Liu,Lucy Liu,1
Burt Reynolds,Burt Reynolds,1
Viggo Mortensen,Viggo Mortensen,1
Paul Rudd,Paul Rudd,1
Bridgette Fonda,Bridget Fonda,0.976
Dennis Leary,Denis Leary,0.979
Debora Winger,Debra Winger,0.98
Robert Duval,Robert Duvall,0.998
Michael Fasbender,Michael Fassbender,0.993
Sam Worthington,Sam Worthington,1
Matt Damon,Matt Damon,1
Ellen ,Ellen Page,0.947
Sarah Jesica Parker,Sarah Jessica Parker,0.991
Kate Winslet,Kate Winslet,1
Harrison Ford,Harrison Ford,1
Tia Lenoi,Tea Leoni,0.896
Drew Barrymore,Drew Barrymore,1
Jennifer Lopez,Jennifer Lopez,1
John Kusack,John Cusack,0.967
Daniel Craig,Daniel Craig,1
Bill Muray,Bill Murray,0.992
Jeffrey Right,Jeffrey Wright,0.969
Rene Russo,Rene Russo,1
Juliette Binoche,Juliette Binoche,1
Colin Firth,Colin Firth,1
Edward Norton,Edward Norton,1
Hugh Jackman,Hugh Jackman,1
Catherine Keener,Catherine Keener,1
Steve Carrel,Steve Carell,0.986
Jeff Bridges,Jeff Bridges,1
Michael Douglas,Michael Douglas,1
Jack Black,Jack Black,1
Sigourney Weaver,Sigourney Weaver,1
Tobi Macguire,Tobey Maguire,0.921
Brooke Shields,Brooke Shields,1
Emily Blunt,Emily Blunt,1
Tom Wilkenson,Tom Wilkinson,0.98
Jeff Goldblum,Jeff Goldblum,1
Dennis MIller,Dennis Miller,1
Adrien Brody,Adrien Brody,1
Rachel McAdams,Rachel McAdams,1
Dennis Hopper,Dennis Hopper,1
